GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,0,710.078,44611.5,44611.5,586.409,-2.34487,15,0.5,2,41747.9,30,1,44,15,29
15,0,1354.56,89768,89768,1623.48,-1.956,15,0.5,2,54482.2,33,1,44,18,26
15,0,2795.36,55214.8,55214.8,2.46626,-2.20265,18,0.5,2,48505.9,31,1,41,13,28
15,0,46.7615,2530.9,2530.9,238.919,-2.05085,27,0.5,2,3338.73,35,1,32,8,24
15,0,35.1145,1332.02,1332.02,82.132,-2.26013,27,0.5,2,2117.92,33,1,32,6,26
15,0,319.774,6065.84,6065.84,14465,-2.19737,27,0.5,2,8206.95,36,1,32,9,23
15,0,462.458,26620.9,26620.9,110247,-2.58894,27,0.5,2,28805.8,40,1,32,13,19
15,0,255.825,16366.5,16366.5,44363.1,-2.12484,29,0.5,2,16496.7,41,1,30,12,18
15,0,342.894,9624.38,9624.38,81836.3,-2.43753,29,0.5,2,8483.61,39,1,30,10,20
15,0,653.655,42722.2,42722.2,7.87627e+006,-2.34487,32,0.5,2,815.103,59,1,27,27,0
15,0,864.034,18421.1,18421.1,24918.3,-2.35496,39,0.5,2,17940.4,50,1,20,11,9
15,0,19.2393,776.077,776.077,63232,-2.01164,39,0.5,2,1515.76,44,1,20,5,15
15,0,252.357,2966.07,2966.07,147933,-2.17287,41,0.5,2,5075.15,47,1,18,6,12
15,0,158.053,2619.14,2619.14,2966.25,-2.29829,41,0.5,2,3421.28,47,1,18,6,12
15,0,28.1328,1909.88,1909.88,19103.2,-2.34468,41,0.5,2,2741.29,49,1,18,8,10
15,0,73.2878,1140.03,1140.03,55133.6,-2.17287,41,0.5,2,1906.01,46,1,18,5,13
15,0,31.8703,636.692,636.692,75.8521,-2.30426,41,0.5,2,1262.83,46,1,18,5,13
15,0,37.7741,337.661,337.661,17.968,-2.30426,42,0.5,2,831.07,45,1,17,3,14
15,0,6.64201,161.678,161.678,72944.9,-2.2328,42,0.5,2,478.018,46,1,17,4,13
15,0,1.5949,40.7917,40.7917,15230.7,-2.12484,43,0.5,2,180.666,46,1,16,3,13
15,0,1343.67,89761.6,54191.1,867905,-1.956,43,0.5,2,0,4294967295,0,16,16,0
15,0,2.76921,118.946,118.946,283092,-2.39563,43,0.5,2,386.718,47,1,16,4,12
15,0,16.8995,150.435,150.435,18270.1,-2.19737,44,0.5,2,455.392,47,1,15,3,12
15,0,128.389,6912.45,6912.45,11930.7,-2.39563,41,0.5,2,9022.07,51,1,18,10,8
15,0,52.9091,2557.89,2557.89,2.11205e+006,-2.24328,51,0.5,2,1493.18,58,1,8,7,1
15,0,319.774,6065.84,6065.84,1.75175e+007,-2.19737,51,0.5,2,610.196,59,1,8,8,0
15,0,256.079,16628,7208.02,4.88332e+006,-2.12484,51,0.5,2,0,4294967295,0,8,8,0
15,0,158.975,9542.11,6452.91,9310.27,-1.956,51,0.5,2,0,4294967295,0,8,8,0
15,0,462.458,26620.9,6329.72,2.38728e+007,-2.58894,51,0.5,2,0,4294967295,0,8,8,0
