GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,0,184.985,9167.05,9167.05,5.53875,-2.24328,75,0.5,2,10806,85,1,44,10,34
15,0,1.4526,91.6968,91.6968,8003.84,-2.35147,87,0.5,2,278.546,93,1,32,6,26
15,0,43.9845,2986.3,2986.3,30.2729,-2.71651,87,0.5,2,4924.64,95,1,32,8,24
15,0,1520.61,53600.7,53600.7,12848.3,-2.18799,87,0.5,2,46829.3,102,1,32,15,17
15,0,892.908,86895,86895,88789.5,-2.18799,87,0.5,2,52031.8,107,1,32,20,12
15,0,1.98035,83.4112,83.4112,189220,-2.35147,87,0.5,2,275.031,94,1,32,7,25
15,0,1.6374,132.561,132.561,8584.7,-2.35147,87,0.5,2,387.592,93,1,32,6,26
15,0,315.736,3714.42,3714.42,33.9677,-2.46243,89,0.5,2,5705.79,95,1,30,6,24
15,0,5.3815,432.424,432.424,4.19166,-2.34468,91,0.5,2,968.876,99,1,28,8,20
15,0,1133,63578.9,63578.9,4044.1,-2.18799,75,0.5,2,53168,91,1,44,16,28
15,0,5.18173,1153.06,1153.06,5598.82,-2.24328,99,0.5,2,1857.5,106,1,20,7,13
15,0,1.20559,120.279,120.279,2.55507e+006,-2.35147,99,0.5,2,257.438,103,1,20,4,16
15,0,5.28738,635.228,635.228,189.114,-2.34468,99,0.5,2,1191.94,105,1,20,6,14
15,0,12.095,1166.99,1166.99,228.14,-2.24328,99,0.5,2,1860.23,106,1,20,7,13
15,0,4.6289,939.085,939.085,1766.23,-2.24328,99,0.5,2,1612.68,106,1,20,7,13
15,0,8.59686,930.215,930.215,2155.74,-2.24328,99,0.5,2,1589.62,105,1,20,6,14
15,0,14.9011,962.868,962.868,2112.46,-2.24328,99,0.5,2,1640.01,105,1,20,6,14
15,0,2798.91,18769.7,18769.7,179536,-2.30426,99,0.5,2,13208.3,106,1,20,7,13
15,0,10.1185,1467.39,1467.39,49.4046,-2.24328,99,0.5,2,2214.24,106,1,20,7,13
15,0,5.44705,1728.16,1728.16,4164.69,-2.24328,99,0.5,2,3343.17,107,1,20,8,12
15,0,3.02145,474.23,474.23,6.19977,-2.34468,99,0.5,2,949.385,105,1,20,6,14
15,0,37.4404,4139.39,4139.39,395.793,-2.71651,99,0.5,2,6109.61,108,1,20,9,11
15,0,4.02324,1606.51,1606.51,254.517,-2.24328,99,0.5,2,2361.69,107,1,20,8,12
15,0,2.17518,66.4818,66.4818,75.9633,-2.35147,100,0.5,2,253.266,103,1,19,3,16
15,0,12.5546,785.803,785.803,43.2289,-2.24328,100,0.5,2,1401.26,106,1,19,6,13
15,0,69.6821,3764.69,3764.69,2779.74,-2.71651,100,0.5,2,5759.06,108,1,19,8,11
15,0,5.29271,1425.21,1425.21,11561.9,-2.24328,100,0.5,2,2182.57,108,1,19,8,11
15,0,185.137,7602.38,7602.38,14423,-2.24328,100,0.5,2,9525.63,109,1,19,9,10
