FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.51819e+12,3.669e+10
0,0.1,1,1.82192e+12,5.07273e+10
0,1,10,1.05924e+11,9.40037e+10
0,10,100,4.86451e+10,3.77033e+11
0,100,1000,1.45005e+09,1.10552e+11
0,1000,10000,0,0
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,3.54795e+09,1.95885e+09
1,1,10,8.71071e+08,1.12454e+09
1,10,100,5.21037e+09,4.00335e+10
1,100,1000,2.64876e+07,3.58764e+09
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,2.78239e+10,3.12377e+08
2,0.1,1,4.18482e+11,2.86452e+10
2,1,10,4.34032e+10,5.50473e+10
2,10,100,1.27871e+10,1.93404e+11
2,100,1000,2.97748e+08,1.44882e+10
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,6.82762e+14,5.82807e+11
3,0.01,0.1,6.44981e+13,1.77693e+11
3,0.1,1,1.30459e+11,8.87198e+09
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,2.87556e+13,3.07995e+10
4,0.01,0.1,4.42898e+13,1.14751e+11
4,0.1,1,5.07722e+11,1.61204e+10
4,1,10,1.55365e+10,8.08564e+09
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.94641e+14,3.15063e+11
5,0.01,0.1,4.47974e+13,1.43016e+11
5,0.1,1,2.65888e+11,1.0723e+10
5,1,10,1.21949e+10,5.07022e+09
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.6493e+11,1.07908e+10
6,0.1,1,1.24609e+11,1.03395e+10
6,1,10,2.48103e+10,1.53686e+10
6,10,100,1.08698e+10,3.9162e+10
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.35816e+11,4.56093e+09
7,0.1,1,5.55264e+11,1.60993e+10
7,1,10,3.55873e+10,3.86748e+10
7,10,100,1.17941e+10,6.5295e+10
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.34839e+11,5.17278e+09
8,0.1,1,2.54615e+11,1.31841e+10
8,1,10,2.98599e+10,2.33554e+10
8,10,100,9.52504e+09,3.26149e+10
8,100,1000,0,0
8,1000,10000,0,0
