GridcellIndex,FunctionalGroupIndex,TotalBiomass
64,0,2.97387e+12
64,1,9.35825e+12
65,0,3.6568e+12
65,1,2.61332e+13
66,0,3.83362e+12
66,1,2.70738e+13
75,0,3.56446e+12
75,1,1.81959e+13
76,0,1.82588e+12
76,1,7.47039e+12
77,0,2.83413e+12
77,1,1.54956e+13
78,0,2.75371e+12
78,1,4.14705e+12
79,0,3.34996e+12
79,1,7.98898e+12
80,0,2.41848e+12
80,1,9.03137e+12
81,0,2.97295e+12
81,1,2.00354e+13
82,0,3.13922e+12
82,1,2.05008e+13
83,0,3.01163e+12
83,1,1.8962e+13
84,0,2.627e+12
84,1,1.03065e+13
85,0,2.75146e+12
85,1,1.29263e+13
86,0,2.63752e+12
86,1,1.09379e+13
87,0,3.02095e+12
87,1,1.32891e+13
88,0,3.44872e+12
88,1,2.06257e+13
164,0,3.02179e+12
164,1,1.05145e+13
165,0,3.68514e+12
165,1,2.38483e+13
176,0,2.23561e+12
176,1,6.80646e+12
177,0,2.3757e+12
177,1,8.49269e+12
179,0,2.3275e+12
179,1,1.10499e+13
180,0,2.92714e+12
180,1,1.77317e+13
263,0,2.95949e+12
263,1,1.22055e+13
264,0,3.29451e+12
264,1,1.57962e+13
265,0,3.61244e+12
265,1,2.10824e+13
362,0,2.72011e+12
362,1,1.1783e+13
363,0,2.45646e+12
363,1,8.62532e+12
364,0,3.34812e+12
364,1,2.04341e+13
365,0,3.08669e+12
365,1,1.22891e+13
366,0,3.06499e+12
366,1,1.38816e+13
458,0,2.75611e+12
458,1,1.06881e+13
459,0,2.75718e+12
459,1,1.10861e+13
460,0,3.1929e+12
460,1,2.19087e+13
461,0,3.14186e+12
461,1,1.95756e+13
462,0,2.65664e+12
462,1,1.25417e+13
463,0,3.14864e+12
463,1,2.57021e+13
464,0,2.64262e+12
464,1,9.9982e+12
465,0,3.24642e+12
465,1,1.60526e+13
466,0,3.29687e+12
466,1,1.5876e+13
557,0,3.56102e+12
557,1,2.27591e+13
558,0,1.9633e+12
558,1,9.9898e+12
559,0,2.95817e+12
559,1,1.56477e+13
560,0,2.97513e+12
560,1,1.71991e+13
561,0,3.05965e+12
561,1,1.9014e+13
562,0,2.82874e+12
562,1,1.44453e+13
563,0,2.95844e+12
563,1,1.73301e+13
564,0,3.00733e+12
564,1,1.70081e+13
565,0,3.31547e+12
565,1,1.71247e+13
566,0,3.14299e+12
566,1,1.34244e+13
652,0,2.88539e+12
652,1,1.2564e+13
653,0,1.3762e+12
653,1,6.38928e+12
654,0,2.50781e+12
654,1,1.57074e+13
656,0,2.65512e+12
656,1,1.95064e+13
657,0,3.05935e+12
657,1,1.68326e+13
658,0,1.98714e+12
658,1,8.39741e+12
659,0,3.08345e+12
659,1,1.7875e+13
660,0,3.18048e+12
660,1,2.07268e+13
661,0,2.32553e+12
661,1,1.176e+13
749,0,2.79461e+12
749,1,1.4102e+13
750,0,2.65644e+12
750,1,2.06431e+13
751,0,2.26029e+12
751,1,1.56521e+13
752,0,1.61917e+12
752,1,6.8201e+12
753,0,2.24388e+12
753,1,1.05799e+13
754,0,2.68541e+12
754,1,1.97552e+13
755,0,2.3647e+12
755,1,1.24894e+13
756,0,2.79344e+12
756,1,1.6658e+13
757,0,2.23831e+12
757,1,1.01619e+13
758,0,2.85475e+12
758,1,1.80221e+13
759,0,2.81241e+12
759,1,1.53223e+13
760,0,2.75987e+12
760,1,1.40119e+13
761,0,3.07624e+12
761,1,2.01097e+13
847,0,2.95849e+12
847,1,1.92602e+13
848,0,2.60852e+12
848,1,1.41312e+13
849,0,3.0559e+12
849,1,2.1086e+13
850,0,2.80298e+12
850,1,2.02511e+13
851,0,2.09092e+12
851,1,1.05757e+13
852,0,2.09605e+12
852,1,1.84845e+13
853,0,2.34951e+12
853,1,1.42085e+13
854,0,2.52131e+12
854,1,1.23689e+13
855,0,1.71844e+12
855,1,8.43012e+12
856,0,2.18629e+12
856,1,1.09792e+13
857,0,2.6851e+12
857,1,1.32257e+13
858,0,2.66716e+12
